,arm_1,arm_2,arm_3,arm_4
1,0.511076546,0.615232533,0.413504079,0.466504194
2,0.517796443,0.631199867,0.375335495,0.47234587
3,0.498939688,0.626315633,0.374984468,0.491193418
4,0.498193315,0.609226527,0.371343772,0.486122834
5,0.472267853,0.620106582,0.35386843,0.463675252
6,0.48900464,0.609411022,0.353156918,0.444784776
7,0.498922937,0.661106815,0.351148204,0.459669582
8,0.523305174,0.661043011,0.385479761,0.445975487
9,0.538202722,0.617130773,0.38403906,0.477824508
10,0.538742055,0.61305354,0.400369013,0.494179332
11,0.576408806,0.627053837,0.389573429,0.442060048
12,0.58170588,0.6084257,0.368726719,0.429884006
13,0.578706679,0.597368238,0.375355878,0.451621205
14,0.542007718,0.603047222,0.38842331,0.453322749
15,0.51169699,0.59667375,0.398928367,0.449059956
16,0.513158928,0.577589974,0.371810296,0.445080478
17,0.513426935,0.585694186,0.379887863,0.422775713
18,0.505704724,0.54789599,0.373664559,0.418810463
19,0.504573157,0.582335652,0.369915918,0.404711898
20,0.511492418,0.588279021,0.34718102,0.429775493
21,0.512951285,0.553509108,0.365459609,0.420212923
22,0.539572991,0.552815737,0.364821817,0.410726764
23,0.56095771,0.535255398,0.373035803,0.376882621
24,0.575401102,0.524393705,0.364677663,0.358107826
25,0.541014126,0.532040408,0.39083719,0.373729847
26,0.536918816,0.511692898,0.371897574,0.398780507
27,0.541079589,0.54671574,0.389383809,0.405865749
28,0.559641612,0.570750529,0.408417182,0.403418308
29,0.566867971,0.54476025,0.383885215,0.398536524
30,0.562069061,0.559260499,0.406860111,0.407780991
31,0.557017169,0.570453061,0.389734908,0.40633374
32,0.587964414,0.562455492,0.364845558,0.430319959
33,0.569423526,0.583546956,0.38651511,0.469700007
34,0.56834307,0.565200904,0.411760625,0.45608609
35,0.599079702,0.567372701,0.404213812,0.497188985
36,0.614921267,0.558903517,0.380656038,0.476236411
37,0.628075493,0.545721743,0.352549374,0.509842719
38,0.631242143,0.538071442,0.347063514,0.530542784
39,0.600609567,0.562917382,0.341152187,0.525341883
40,0.598478627,0.574174471,0.340254534,0.519319672
41,0.60144404,0.580661228,0.358175358,0.531828439
42,0.630195312,0.582970551,0.366861123,0.522351056
43,0.628568645,0.572586617,0.357029746,0.532129282
44,0.636994371,0.565568304,0.384631609,0.54344664
45,0.650015763,0.5781911,0.386636695,0.52618086
46,0.626001871,0.554193525,0.376640317,0.575008411
47,0.606772055,0.585886385,0.329837755,0.546233567
48,0.609756275,0.601875425,0.322472207,0.544792119
49,0.606158462,0.595767883,0.298351175,0.559135463
50,0.585330427,0.596690297,0.304980312,0.528689445
